epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0083,2.11466,7.71174,1.01335,2.19413,2.31897,0.89794,0.58692,0.77449,0.25785,0,0,0,0,1.8921,7.15942,0.09667,2.14161,2.36521,0.000241667,0.000241667,0.076075
2,93.6562,1.60976,6.36174,0.80916,1.46048,1.83231,0.79117,0.75794,0.90057,0.51842,0.02649,0.1,0.00773,0.00096,1.42926,7.20466,0.17267,2.30107,1.85864,0.000445186,0.000445186,0.0512785
3,132.727,1.36548,5.62657,0.71614,1.17126,1.62797,0.99627,1,0.995,0.57268,0.39869,0.4,0.26312,0.02912,1.36136,4.43725,0.0661,1.24679,1.73974,0.00048799,0.00048799,0.0263213
4,182.815,1.28203,5.20926,0.56441,1.05782,1.52429,0.99795,1,0.995,0.63744,0.89816,0.9,0.86037,0.20212,1.05927,3.80586,0.07985,0.95526,1.39117,0.000349103,0.000349103,0.00118244
5,278.382,1.42201,5.00706,0.65471,1.08551,1.60681,0.99814,1,0.995,0.71953,0.99814,1,0.995,0.30612,0.86636,3.26384,0.11052,0.55439,1.18637,0.000104537,0.000104537,0.000104537
